paremeters:
tick: 0.02
popsize: 50
eva_num: 30
n_signages: 10
��ʼ�����: 
Ŀ��1-ʱ��,Ŀ��2-ѹ��,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
0,0,89,79,84,61,86,61,24,79,63.75,76.75,19,79,100,61,73,46,53,74.25,84,78.5,
0,0,29,61,95,61,69.75,63.5,56.5,71.25,52.25,63.75,31.5,77,79,73.75,42.5,68.125,90,61,59,47,
0,0,94,79,78,61,74,61,60,78,19,79,51.75,85,12.5,71.5,51,68,55,74,62.75,84.5,
0,0,96,62,59,89,76,79,96,64,35,70,101,64,72,61,69,66.25,1,86,104,64,
0,0,3,89,61.5,39,89,79,61.5,80,62.125,68.375,1,89,42,79,83,61,68,69.5,76,65,
0,0,26.5,65.5,61,56,2,86,75,67.5,8,86,55,77,37,79,61.625,60.875,16.5,67.5,61.25,65.5,
0,0,93,61,72,75,54.75,66.5,60,89,1,86,10,89,53.25,88,64.5,86,54,76,56.875,81.125,
0,0,83,61,39,65,4,86,58,14,70,73.5,72,72,57.625,82,19,79,47.5,64.5,51,86,
0,0,58,83.75,75,61,73,79.25,64,60,52,89,88,61,75,74,59.75,78,29.5,73,63,68.5,
0,0,73,75,53.5,61,1,86,72,89,1,86,104,61,28,61,90,61,32.5,72,101,61,
0,0,8,86,38,62,64.5,70,47,79,56,68,64,73.5,75,71,52.5,89,7,86,1,89,
0,0,62,1,24,64,6,86,45,67.5,1,89,96,61,69,74.5,57.5,78.75,51,89,104,61,
0,0,44,61,71.25,89,10,89,89,61,71,61,85,61,62.75,89.5,48,79,41.875,69.25,49.75,73,
0,0,53,80.5,77,64,33,79,60,63,26,61,87,61,83,75,59.25,66,70.5,78.25,49,61,
0,0,58.5,56.5,104,63,60.25,67.5,56.5,69.5,28,65,53.375,63.5,76,61,62,68.5,66,66.5,25,79,
0,0,86,79,94,61,61.125,17,21,70,55.75,72,3,89,104,62.25,66,46,83,61,60.5,77,
0,0,69,16,67,46,21,79,73,61.5,1,89,31.625,63,86.5,72,65,66.5,41,68.5,68.5,64,
0,0,47,61,91,75,58,84,40,79,25,61,80.375,63,84,61,78,61,80,79,73,64,
0,0,40,78,77,68,104,64,63.5,61,54,74.5,104,61,22,71.25,51,61,41,79,81,61,
0,0,29,72,68.5,63.5,61,57,27.5,69.5,53,81.5,21,61,70,61,53.375,76,18,79,104,64,
0,0,19.5,70.5,53.625,87.5,1,89,96,61,22,79,80,61,84.5,69.5,67.5,78.25,14,73.5,64.5,51,
0,0,66,89,1,86,36.25,69.375,78,61,42,61,64.5,85.5,38.5,63.25,90,61,76,61,64,85,
0,0,90,79,58,29,55,89,69.5,79.5,48,65,70,61,61.5,8.5,104,64,99,64,103,64,
0,0,37,79,83,61,79.75,63,22,73.5,60,51.5,85.75,69,104,64,45.875,61.75,34.5,74,11,73,
0,0,90,61,41,61.5,36,79,89,65,38,79,99,61,1,86,104,64,45.75,79,67.5,61,
0,0,92,79.25,104,64,59,58,76.5,67,1,89,99,62.625,85,61,75.75,61.25,85,61,90.5,77.5,
0,0,90,61,19.75,61.5,15,68.5,79,61,23,79,74,61,30.75,68,70,16,18,61,73,61,
0,0,48,79,32,70,4,86,83,75,11,76,84,61,54.5,28,94,65,41,79,71,75,
